Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|AJ866988.1|+|0-861|ARO:3000994|TEM-130	TEM-130	3000994	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|BX571965.1|-|2150965-2152165|ARO:3002982|amrA	amrA	3002982	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	17	0	17	63.17	758	52.88	*	1200	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AF173226.1|-|351-1041|ARO:3003066|smeR	smeR	3003066	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	828	0	828	26.38	182	33.99	*	690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|AY566250.1|+|391-1555|ARO:3000391|norA	norA	3000391	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus epidermidis	1	0	1	3.61	42	60.00	*	1164	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AL123456.3|-|3626662-3627349|ARO:3000816|mtrA	mtrA	3000816	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	2	0	2	19.51	134	9.00	*	687	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
gb|AJ272109.1|+|0-888|ARO:3000582|L1_BLA	L1 beta-lactamase	3000582	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	1	0	1	17.00	151	60.00	*	888	L1 family beta-lactamase	cephalosporin	antibiotic inactivation
gb|U57969.1|+|1485-4617|ARO:3000801|MexD	MexD	3000801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	380	0	380	30.14	944	24.18	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AY264780.2|-|1824-3006|ARO:3000569|tet(41)	tet(41)	3000569	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	5	0	5	14.47	171	55.00	*	1182	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|HQ877606.1|+|0-861|ARO:3001056|TEM-197	TEM-197	3001056	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AB639410.1|+|0-1404|ARO:3003039|OprA	OprA	3003039	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	228	0	228	6.05	85	26.92	*	1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; tetracycline antibiotic	antibiotic efflux
gb|KM087864.1|+|0-1146|ARO:3002179|MIR-14	MIR-14	3002179	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter asburiae	6	0	6	26.27	301	17.00	*	1146	MIR beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
gb|AE004091.2|+|3982020-3984009|ARO:3002985|arnA	arnA	3002985	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	6184	0	6184	62.54	1244	48.55	*	1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
gb|AY769962.1|+|5610-7065|ARO:3000782|adeK	adeK	3000782	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	9	0	9	30.86	449	60.00	*	1455	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|JQ727668.1|+|0-375|ARO:3000823|ramA	ramA	3000823	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	12	0	12	88.80	333	58.50	*	375	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|KF513179.1|+|0-861|ARO:3001388|TEM-211	TEM-211	3001388	protein homolog model	CARD	CARD curation	no data	no data	Proteus mirabilis	1	0	1	4.65	40	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U97042.1|+|0-1218|ARO:3003009|ceoA	ceoA	3003009	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	34	0	34	99.92	1217	57.82	*	1218	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|FR848831.1|+|0-861|ARO:3001375|TEM-184	TEM-184	3001375	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA	emrA	3000027	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	329	0	329	38.96	457	16.63	*	1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|JX042489.1|+|141-1002|ARO:3000890|TEM-19	TEM-19	3000890	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AB015853.1|+|1330-4471|ARO:3003033|mexY	mexY	3003033	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	439	0	439	15.38	483	24.74	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|CP014358.1|-|2161325-2162750|ARO:3001327|MdtK	MdtK	3001327	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	2620	0	2620	31.16	444	29.87	*	1425	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux
gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	bacA	3002986	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3631	0	3631	52.07	428	44.53	*	822	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
gb|AY077482.1|+|161-1037|ARO:3002391|OXY-1-3	OXY-1-3	3002391	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1	0	1	7.99	70	0.00	*	876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|2812615-2814154|ARO:3000074|emrB	emrB	3000074	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3913	0	3913	83.95	1292	0.00	*	1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AF427128.1|+|208-1069|ARO:3000949|TEM-82	TEM-82	3000949	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AY524276.3|+|0-1137|ARO:3002494|SRT-2	SRT-2	3002494	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	17	0	17	52.68	599	9.00	*	1137	SRT beta-lactamase	cephalosporin	antibiotic inactivation
gb|KF147862.1|+|0-654|ARO:3000559|adeN	adeN	3000559	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	23.09	151	60.00	*	654	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|EU408352.1|-|35394-37224|ARO:3002484|LRA-13	LRA-13	3002484	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	4.48	82	37.33	*	1830	class C LRA beta-lactamase; class D LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|AP009048.1|+|1621287-1621671|ARO:3000263|marA	marA	3000263	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	8	0	8	51.30	197	58.38	*	384	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|AM183304.1|+|208-1069|ARO:3001017|TEM-150	TEM-150	3001017	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|L11616.1|+|1569-4710|ARO:3000378|MexB	MexB	3000378	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	6977	0	6977	64.98	2041	41.49	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AF173226.1|+|3767-6917|ARO:3003052|smeB	smeB	3003052	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	283	0	283	18.38	579	36.83	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|M57437.1|+|0-1647|ARO:3002827|tlrC	tlrC	3002827	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces fradiae	25	0	25	2.61	43	57.64	*	1647	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic; lincosamide antibiotic	antibiotic target protection
gb|AM087411.1|+|1611-2457|ARO:3002606|aadA6	aadA6	3002606	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	5.20	44	60.00	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|FJ405211.1|+|0-861|ARO:3000926|TEM-57	TEM-57	3000926	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AE005672.3|-|1983115-1984810|ARO:3000024|patA	patA	3000024	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pneumoniae	2	0	2	17.82	302	60.00	*	1695	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|V00618.1|+|150-945|ARO:3002644|APH(3')-IIa	APH(3')-IIa	3002644	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	13.21	105	60.00	*	795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
gb|U38944.1|+|0-1536|ARO:3003037|opcM	opcM	3003037	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	25	0	25	87.11	1338	59.28	*	1536	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|U00096.1|+|2367070-2368039|ARO:3003578|PmrF	PmrF	3003578	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1862	0	1862	29.93	290	28.71	*	969	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
gb|AY509111.1|+|0-1056|ARO:3002894|otr(C)	otr(C)	3002894	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	1	0	1	3.41	36	60.00	*	1056	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AE004091.2|+|177306-178458|ARO:3003679|TriA	TriA	3003679	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	76	0	76	4.69	54	59.47	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|178454-179525|ARO:3003680|TriB	TriB	3003680	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	80	0	80	4.58	49	59.96	*	1071	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|179521-182569|ARO:3003681|TriC	TriC	3003681	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2958	0	2958	61.84	1885	47.73	*	3048	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|5584100-5585549|ARO:3003682|OpmH	OpmH	3003682	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	239	0	239	19.19	278	53.91	*	1449	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AB219524.1|+|1176-4338|ARO:3003699|mexQ	mexQ	3003699	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	64	0	64	10.28	325	28.27	*	3162	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|4116187-4119265|ARO:3003693|MexK	MexK	3003693	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	318	0	318	9.32	287	20.56	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|NC_002516.2|+|4904646-4907703|ARO:3003031|MexW	MexW	3003031	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	12	0	12	14.62	447	57.08	*	3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AB219524.1|+|4334-5810|ARO:3003700|opmE	opmE	3003700	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.37	35	59.00	*	1476	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AB219523.1|+|1175-4286|ARO:3003705|mexN	mexN	3003705	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	183	0	183	11.99	373	15.39	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
gb|LOCK01000072.1|-|166343-167390|ARO:3003723|vanI	vanI	3003723	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	1	0	1	7.45	78	22.00	*	1047	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|L06249.1|+|1527-2505|ARO:3003748|oleC	oleC	3003748	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	2	0	2	6.85	67	60.00	*	978	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|KP836350.1|+|0-1146|ARO:3003655|ACT-38	ACT-38	3003655	protein homolog model	CARD	CARD curation	no data	no data	Citrobacter freundii	3	0	3	26.53	304	0.00	*	1146	ACT beta-lactamase	carbapenem; cephalosporin; cephamycin; penam	antibiotic inactivation
gb|AE014292.2|+|568280-570923|ARO:3003772|Bsui_mprF	Brucella suis mprF	3003772	protein homolog model	CARD	CARD curation	no data	no data	Brucella suis	1	0	1	2.46	65	39.00	*	2643	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
gb|KY073238.1|+|1678-2323|ARO:3004636|qnrE1	qnrE1	3004636	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	15	0	15	72.87	470	5.87	*	645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
gb|CP018961.1|-|163458-164103|ARO:3004637|qnrE2	qnrE2	3004637	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	11	0	11	36.90	238	14.55	*	645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
gb|AJ575184.1|+|0-1152|ARO:3003851|ADC-5	ADC-5	3003851	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter pittii	1	0	1	13.11	151	0.00	*	1152	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
gb|EU370913.1|+|46651-47827|ARO:3003922|oqxA	oqxA	3003922	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	220	0	220	82.31	968	24.57	*	1176	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
gb|EU370913.1|+|47850-51003|ARO:3003923|oqxB	oqxB	3003923	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	13101	0	13101	96.10	3030	40.42	*	3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
gb|U00096.3|+|966620-968369|ARO:3003950|msbA	msbA	3003950	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1742	0	1742	60.95	1066	43.54	*	1749	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
gb|AE004091.2|-|2854010-2855291|ARO:3004073|MuxA	MuxA	3004073	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	8	0	8	6.56	84	47.50	*	1281	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|LT673656.1|-|1884344-1885022|ARO:3004054|Paer_CpxR	Pseudomonas aeruginosa CpxR	3004054	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	598	0	598	62.54	424	46.08	*	678	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AE004091.2|-|2846282-2847779|ARO:3004072|OpmB	OpmB	3004072	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	105	0	105	8.82	132	36.29	*	1497	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|+|5606102-5606435|ARO:3004038|Paer_emrE	Pseudomonas aeruginosa emrE	3004038	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	41	0	41	40.84	136	59.88	*	333	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
gb|AJ318073.1|+|793-1990|ARO:3004041|Kpne_acrA	Klebsiella pneumoniae acrA	3004041	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	2783	0	2783	16.04	192	7.65	*	1197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|DQ679966.1|+|299-1493|ARO:3004042|Eclo_acrA	Enterobacter cloacae acrA	3004042	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	90	0	90	100.00	1194	41.46	*	1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|U00096.3|-|484425-485619|ARO:3004043|Ecol_acrA	Escherichia coli acrA	3004043	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	9.30	111	22.75	*	1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|CP012901.1|-|5979156-5980365|ARO:3003801|bcr-1	bcr-1	3003801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	3.14	38	60.00	*	1209	major facilitator superfamily (MFS) antibiotic efflux pump	bicyclomycin-like antibiotic	antibiotic efflux
gb|JQ340365.1|+|0-1434|ARO:3003583|basS	basS	3003583	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	261	0	261	17.57	252	48.54	*	1434	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|+|2810008-2813197|ARO:3000804|MexF	MexF	3000804	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	7820	0	7820	83.10	2650	45.10	*	3189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AE004091.2|+|476332-477790|ARO:3000379|OprM	OprM	3000379	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	87	0	87	18.45	269	27.51	*	1458	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|2850882-2854014|ARO:3004074|MuxB	MuxB	3004074	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4072	0	4072	58.94	1846	35.49	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|-|2847775-2850886|ARO:3004075|MuxC	MuxC	3004075	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1849	0	1849	31.50	980	36.51	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|-|1472546-1473980|ARO:3004077|PmpM	PmpM	3004077	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	464	0	464	27.75	398	47.54	*	1434	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|APPC01000022.1|-|55968-56760|ARO:3004090|ANT(3'')-IIb	ANT(3'')-IIb	3004090	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter sp.	2	0	2	32.07	254	60.00	*	792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|KU254579.1|+|59421-59841|ARO:3004111|FosA6	FosA6	3004111	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	35.95	151	0.00	*	420	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|AY312416.1|+|0-1122|ARO:3004123|Bpse_Omp38	Burkholderia pseudomallei Omp38	3004123	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	30	0	30	72.73	816	52.37	*	1122	General Bacterial Porin with reduced permeability to beta-lactams	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem	reduced permeability to antibiotic
gb|AFRQ01000061.1|-|22598-23990|ARO:3004142|OprZ	OprZ	3004142	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	9	0	9	10.78	150	18.00	*	1392	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	AxyY	3004144	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	3304	0	3304	21.96	689	13.88	*	3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|JQ394987.1|+|0-1233|ARO:3001328|Ecol_mdfA	Escherichia coli mdfA	3001328	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	25	0	25	33.09	408	41.20	*	1233	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AP006618.1|+|4835199-4838688|ARO:3000501|rpoB2	rpoB2	3000501	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	2758	0	2758	28.43	992	57.57	*	3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
gb|NG_066531.1|+|0-1194|ARO:3005279|PDC-324	PDC-324	3005279	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.43	41	0.00	*	1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|NG_051744.1|+|100-1294|ARO:3004337|PDC-74	PDC-74	3004337	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.94	47	0.00	*	1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|KR057745.1|+|0-1116|ARO:3004339|PDC-76	PDC-76	3004339	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.05	34	0.00	*	1116	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|KR057750.1|+|0-1116|ARO:3004344|PDC-81	PDC-81	3004344	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	3.67	41	0.00	*	1116	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
