Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|U38944.1|+|0-1536|ARO:3003037|opcM	opcM	3003037	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	1	0	1	3.45	53	35.00	*	1536	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|CP011360.1|+|6169922-6170807|ARO:3000856|BJP-1	BJP-1	3000856	protein homolog model	CARD	CARD curation	no data	no data	Bradyrhizobium diazoefficiens	17	0	17	88.59	784	59.47	*	885	BJP beta-lactamase	carbapenem	antibiotic inactivation
gb|AY509111.1|+|0-1056|ARO:3002894|otr(C)	otr(C)	3002894	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	11	0	11	14.30	151	53.27	*	1056	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AE004091.2|+|178454-179525|ARO:3003680|TriB	TriB	3003680	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.80	30	60.00	*	1071	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|179521-182569|ARO:3003681|TriC	TriC	3003681	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	33	0	33	26.54	809	44.48	*	3048	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AB219524.1|+|1176-4338|ARO:3003699|mexQ	mexQ	3003699	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	522	0	522	29.73	940	26.81	*	3162	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|4116187-4119265|ARO:3003693|MexK	MexK	3003693	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	155	0	155	24.27	747	42.41	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|NC_002516.2|+|4904646-4907703|ARO:3003031|MexW	MexW	3003031	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	130	0	130	23.26	711	38.06	*	3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AB219523.1|+|1175-4286|ARO:3003705|mexN	mexN	3003705	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	348	0	348	26.33	819	39.18	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
gb|KP109676.1|+|1022-1841|ARO:3003719|MSI-OXA	MSI-OXA	3003719	protein homolog model	CARD	CARD curation	no data	no data	Massilia sp.	1	0	1	5.49	45	50.00	*	819	MSI-OXA family beta-lactamase	carbapenem	antibiotic inactivation
gb|AL939117.1|+|50871-51864|ARO:3002914|vanJ	vanJ	3002914	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces coelicolor	6	0	6	32.93	327	36.33	*	993	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration
gb|LOCK01000072.1|-|166343-167390|ARO:3003723|vanI	vanI	3003723	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	19	0	19	91.60	959	43.42	*	1047	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|L06249.1|+|1527-2505|ARO:3003748|oleC	oleC	3003748	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	374	0	374	50.82	497	58.06	*	978	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|CP001336.1|+|1776504-1777113|ARO:3003725|vanX_in_vanI_cl	vanX gene in vanI cluster	3003725	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	14	0	14	93.60	570	35.21	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|NC_004939.1|+|4565-6107|ARO:3004639|Cstr_tetA	Corynebacterium striatum tetA	3004639	protein homolog model	CARD	CARD curation	no data	no data	Corynebacterium striatum	9	0	9	3.18	49	59.00	*	1542	major facilitator superfamily (MFS) antibiotic efflux pump	penam; tetracycline antibiotic	antibiotic efflux
gb|EU370913.1|+|47850-51003|ARO:3003923|oqxB	oqxB	3003923	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	111	0	111	26.80	845	27.67	*	3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
gb|AL123456.3|-|3153038-3154631|ARO:3003955|efpA	efpA	3003955	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	21	0	21	23.10	368	50.00	*	1593	major facilitator superfamily (MFS) antibiotic efflux pump	rifamycin antibiotic; isoniazid-like antibiotic	antibiotic efflux
gb|U40487.1|+|170-1685|ARO:3003967|lfrA	lfrA	3003967	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	2	0	2	2.57	39	60.00	*	1515	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|KX531049.1|+|0-1947|ARO:3003986|TaeA	TaeA	3003986	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	3	0	3	2.98	58	59.33	*	1947	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux
gb|KX531052.1|+|0-2655|ARO:3003992|rphB	rphB	3003992	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	222	0	222	80.11	2127	41.35	*	2655	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
gb|AE004091.2|-|2854010-2855291|ARO:3004073|MuxA	MuxA	3004073	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	50	0	50	16.94	217	56.48	*	1281	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|KX531044.1|+|0-1032|ARO:3003980|tetA(58)	tetA(58)	3003980	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	12	0	12	5.91	61	46.92	*	1032	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|DQ185434.2|+|0-1257|ARO:3000462|mgtA	mgtA	3000462	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	4	0	4	24.34	306	25.50	*	1257	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation
gb|LT673656.1|-|1884344-1885022|ARO:3004054|Paer_CpxR	Pseudomonas aeruginosa CpxR	3004054	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	55	0	55	22.71	154	30.25	*	678	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|CP012901.1|-|5979156-5980365|ARO:3003801|bcr-1	bcr-1	3003801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	5.54	67	60.00	*	1209	major facilitator superfamily (MFS) antibiotic efflux pump	bicyclomycin-like antibiotic	antibiotic efflux
gb|JQ340365.1|+|0-1434|ARO:3003583|basS	basS	3003583	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.58	37	60.00	*	1434	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|+|2810008-2813197|ARO:3000804|MexF	MexF	3000804	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1927	0	1927	60.11	1917	29.72	*	3189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AE004091.2|+|476332-477790|ARO:3000379|OprM	OprM	3000379	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	13	0	13	10.70	156	39.69	*	1458	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|2850882-2854014|ARO:3004074|MuxB	MuxB	3004074	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3001	0	3001	72.77	2279	31.98	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|-|2847775-2850886|ARO:3004075|MuxC	MuxC	3004075	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2621	0	2621	47.54	1479	22.58	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|EU847537.1|+|1671-3207|ARO:3004103|QepA2	QepA2	3004103	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	0	5	13.28	204	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|KP903885.1|+|0-828|ARO:3003611|OXA-455	OXA-455	3003611	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	1	0	1	3.62	30	0.00	*	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|AFRQ01000061.1|-|22598-23990|ARO:3004142|OprZ	OprZ	3004142	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	3	0	3	6.18	86	23.33	*	1392	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AFRQ01000061.1|-|27130-28306|ARO:3004143|AxyX	AxyX	3004143	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	2	0	2	2.98	35	60.00	*	1176	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	AxyY	3004144	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	314	0	314	27.50	863	21.46	*	3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AP006618.1|+|4835199-4838688|ARO:3000501|rpoB2	rpoB2	3000501	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	3047	0	3047	79.91	2788	40.03	*	3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
gb|NG_056174.1|+|100-964|ARO:3004361|sul4	sul4	3004361	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	8.10	70	59.00	*	864	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
gb|KX686116.1|+|0-1536|ARO:3004379|QepA4	QepA4	3004379	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	0	5	15.82	243	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|CP001643.1|+|2516712-2517609|ARO:3004539|mphH	mphH	3004539	protein homolog model	CARD	CARD curation	no data	no data	Brachybacterium faecium	1	0	1	3.34	30	60.00	*	897	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
gb|NG_056418.1|+|0-861|ARO:3005262|TEM-231	TEM-231	3005262	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	27.53	237	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|KR857685.1|+|0-1164|ARO:3004586|tet(51)	tet(51)	3004586	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	20.70	241	25.00	*	1164	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KR857687.1|+|0-1164|ARO:3004589|tet(53)	tet(53)	3004589	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	42.70	497	32.33	*	1164	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KR857688.1|+|0-1167|ARO:3004590|tet(54)	tet(54)	3004590	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	18.77	219	60.00	*	1167	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|ACWO01000051.1|+|22092-23265|ARO:3004588|Kpne_KpnG	Klebsiella pneumoniae KpnG	3004588	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella sp.	31	0	31	6.48	76	51.74	*	1173	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	antibiotic efflux
gb|AE004091.2|+|3450837-3451509|ARO:3005063|cprR	cprR	3005063	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	22	0	22	15.03	101	49.73	*	672	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|+|3451505-3452801|ARO:3005064|cprS	cprS	3005064	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.39	31	60.00	*	1296	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|-|1950438-1951725|ARO:3005067|ParS	ParS	3005067	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.41	31	60.00	*	1287	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|AE004091.2|-|1951725-1952433|ARO:3005068|ParR	ParR	3005068	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	6.36	45	56.67	*	708	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|NG_062250.1|+|100-961|ARO:3005268|TEM-237	TEM-237	3005268	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	20.44	176	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|NG_062236.1|+|1-957|ARO:3006893|ALG6-1	ALG6-1	3006893	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	5.64	54	38.00	*	957	ALG6 beta-lactamases	carbapenem	antibiotic inactivation
gb|NG_062235.1|+|1-912|ARO:3006864|CRD3-1	CRD3-1	3006864	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	7.13	65	10.00	*	912	CRD3 beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_057456.1|+|1-873|ARO:3006866|CRH-2	CRH-2	3006866	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	1	0	1	3.44	30	0.00	*	873	CRH beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_049290.1|+|12-914|ARO:3006949|MAL-1	MAL-1	3006949	protein homolog model	CARD	CARD curation	no data	no data	Citrobacter koseri	2	0	2	3.43	31	25.00	*	903	MAL beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_049790.1|+|1-828|ARO:3005743|OXA-513	OXA-513	3005743	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	1	0	1	3.62	30	0.00	*	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
gb|NG_049983.1|+|101-1066|ARO:3006987|SGM-1	SGM-1	3006987	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	1	0	1	4.97	48	14.00	*	966	SGM beta-lactamase	carbapenem	antibiotic inactivation
gb|M97297.1|+|6018-6986|ARO:3002942|vanH_in_vanA_cl	vanH gene in vanA cluster	3002942	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	1	0	1	18.89	183	38.00	*	969	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AE004091.2|+|4707534-4710624|ARO:3000808|MexI	MexI	3000808	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	189	0	189	25.05	774	26.08	*	3090	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|4120468-4121107|ARO:3003710|MexL	MexL	3003710	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2	0	2	10.95	70	46.00	*	639	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bbif_ileS_MUP	Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium bifidum	59	0	59	19.71	655	38.58	*	3324	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bado_rpoB_RIF	Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium adolescentis	3007	0	3007	50.01	1781	37.66	*	3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
gb|AF353562.1|+|963-1920|ARO:3005008|TxR	TxR	3005008	protein homolog model	CARD	CARD curation	no data	no data	Vibrio harveyi	3	0	3	5.22	50	54.67	*	957	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|KF478993.1|-|4909-5947|ARO:3002941|vanS_in_vanO_cl	vanS gene in vanO cluster	3002941	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	153	0	153	67.73	703	42.67	*	1038	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|KF478993.1|-|6002-6704|ARO:3002930|vanR_in_vanO_cl	vanR gene in vanO cluster	3002930	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	299	0	299	94.16	661	48.46	*	702	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
gb|KR857681.1|+|0-1248|ARO:3004613|tet(47)	tet(47)	3004613	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	15.54	194	30.00	*	1248	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|X53401.1|+|0-1992|ARO:3002891|otr(A)S.rim	Streptomyces rimosus otr(A)	3002891	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	25	0	25	22.74	453	40.96	*	1992	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
gb|M74049.1|+|342-2262|ARO:3007127|otr(A)S.liv	Streptomyces lividans otr(A)	3007127	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	14	0	14	21.15	406	47.57	*	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
gb|LC579778.1|+|0-861|ARO:3007206|KBL-1	KBL-1	3007206	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	2	0	2	5.34	46	55.00	*	861	KBL beta-lactamase	penam	antibiotic inactivation
gb|CP018074.1|+|518413-519844|ARO:3007209|Sven_rox	Streptomyces venezuelae rox	3007209	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	90	0	90	69.39	993	45.94	*	1431	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|AP006618.1|+|3747376-3748798|ARO:3007210|Nfar_rox	Nocardia farcinica rox	3007210	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	26	0	26	52.88	752	36.65	*	1422	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
gb|FR845719.1|-|6559170-6561339|ARO:3007208|HelR	HelR	3007208	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces venezuelae	172	0	172	86.81	1883	48.09	*	2169	helicase-like RNA polymerase protection protein	rifamycin antibiotic	antibiotic target protection
