Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|AB015853.1|+|1330-4471|ARO:3003033|mexY	mexY	3003033	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	202	0	202	24.74	777	20.09	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|U35369.1|+|6004-6613|ARO:3002950|vanX_in_vanB_cl	vanX gene in vanB cluster	3002950	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	0	2	6.08	37	41.50	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF155139.1|+|4978-5947|ARO:3002945|vanH_in_vanF_cl	vanH gene in vanF cluster	3002945	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus popilliae	7	0	7	8.98	87	42.71	*	969	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|KF478993.1|+|2576-3185|ARO:3002954|vanX_in_vanO_cl	vanX gene in vanO cluster	3002954	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	126	0	126	84.24	513	39.99	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|U00096.1|+|2812615-2814154|ARO:3000074|emrB	emrB	3000074	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	2.73	42	0.00	*	1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AE002098.2|-|1791966-1795170|ARO:3000811|mtrD	mtrD	3000811	protein homolog model	CARD	CARD curation	no data	no data	Neisseria meningitidis	78	0	78	1.65	53	46.36	*	3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
gb|L11616.1|+|1569-4710|ARO:3000378|MexB	MexB	3000378	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	788	0	788	56.57	1777	29.87	*	3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AF534183.1|+|2970-4245|ARO:3000165|tet(A)	tet(A)	3000165	protein homolog model	CARD	CARD curation	no data	no data	Shigella sonnei	1	0	1	3.22	41	60.00	*	1275	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AF001493.1|+|0-432|ARO:3002846|arr-1	arr-1	3002846	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	10	0	10	26.62	115	45.90	*	432	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
gb|M97297.1|+|4649-5803|ARO:3002931|vanS_in_vanA_cl	vanS gene in vanA cluster	3002931	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	8	0	8	64.68	747	57.88	*	1155	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF173226.1|+|3767-6917|ARO:3003052|smeB	smeB	3003052	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	517	0	517	25.27	796	35.34	*	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gb|DQ839391.1|+|38018-38255|ARO:3003021|dfrB2	dfrB2	3003021	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	31.65	75	17.00	*	237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
gb|M97297.1|+|6979-8010|ARO:3000010|vanA	vanA	3000010	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	9	0	9	67.93	701	42.33	*	1032	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|M57437.1|+|0-1647|ARO:3002827|tlrC	tlrC	3002827	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces fradiae	319	0	319	10.56	174	42.23	*	1647	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic; lincosamide antibiotic	antibiotic target protection
gb|AM087411.1|+|1611-2457|ARO:3002606|aadA6	aadA6	3002606	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	19	0	19	5.32	45	45.89	*	846	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
gb|EU408348.1|+|1243-2152|ARO:3002510|LRA-3	LRA-3	3002510	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	90	0	90	84.93	772	42.72	*	909	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|EU408356.1|+|7570-8479|ARO:3002486|LRA-7	LRA-7	3002486	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	9	0	9	41.47	377	16.11	*	909	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U38944.1|+|0-1536|ARO:3003037|opcM	opcM	3003037	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	2	0	2	9.90	152	49.50	*	1536	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
gb|AJ223970.1|+|796-2050|ARO:3000463|gimA	gimA	3000463	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	1	0	1	6.38	80	18.00	*	1254	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation
gb|CP011360.1|+|6169922-6170807|ARO:3000856|BJP-1	BJP-1	3000856	protein homolog model	CARD	CARD curation	no data	no data	Bradyrhizobium diazoefficiens	11	0	11	62.15	550	56.91	*	885	BJP beta-lactamase	carbapenem	antibiotic inactivation
gb|AY509111.1|+|0-1056|ARO:3002894|otr(C)	otr(C)	3002894	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	38	0	38	36.84	389	50.13	*	1056	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|AE004091.2|+|177306-178458|ARO:3003679|TriA	TriA	3003679	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2	0	2	10.16	117	39.00	*	1152	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|179521-182569|ARO:3003681|TriC	TriC	3003681	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	209	0	209	40.88	1246	46.34	*	3048	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|+|5584100-5585549|ARO:3003682|OpmH	OpmH	3003682	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.83	41	59.00	*	1449	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
gb|AB219524.1|+|1176-4338|ARO:3003699|mexQ	mexQ	3003699	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	865	0	865	31.72	1003	27.82	*	3162	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|4116187-4119265|ARO:3003693|MexK	MexK	3003693	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	640	0	640	30.96	953	44.79	*	3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|NC_002516.2|+|4904646-4907703|ARO:3003031|MexW	MexW	3003031	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	420	0	420	44.65	1365	31.66	*	3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AB219523.1|+|1175-4286|ARO:3003705|mexN	mexN	3003705	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	883	0	883	28.54	888	30.68	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
gb|KP109677.1|+|4318-5179|ARO:3003670|PEDO-1	PEDO-1	3003670	protein homolog model	CARD	CARD curation	no data	no data	Pedobacter sp.	1	0	1	5.34	46	60.00	*	861	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
gb|KP109676.1|+|1022-1841|ARO:3003719|MSI-OXA	MSI-OXA	3003719	protein homolog model	CARD	CARD curation	no data	no data	Massilia sp.	3	0	3	5.25	43	47.33	*	819	MSI-OXA family beta-lactamase	carbapenem	antibiotic inactivation
gb|AL939117.1|+|50871-51864|ARO:3002914|vanJ	vanJ	3002914	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces coelicolor	23	0	23	63.65	632	41.78	*	993	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration
gb|LOCK01000072.1|-|166343-167390|ARO:3003723|vanI	vanI	3003723	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	234	0	234	89.68	939	39.81	*	1047	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
gb|L06249.1|+|1527-2505|ARO:3003748|oleC	oleC	3003748	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	461	0	461	76.07	744	56.98	*	978	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
gb|CP001336.1|+|1776504-1777113|ARO:3003725|vanX_in_vanI_cl	vanX gene in vanI cluster	3003725	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	132	0	132	92.28	562	37.92	*	609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
gb|AF024601.1|+|302-1196|ARO:3004784|FAR-1	FAR-1	3004784	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	2	0	2	13.20	118	50.50	*	894	FAR beta-lactamase	penam	antibiotic inactivation
gb|NC_004939.1|+|4565-6107|ARO:3004639|Cstr_tetA	Corynebacterium striatum tetA	3004639	protein homolog model	CARD	CARD curation	no data	no data	Corynebacterium striatum	23	0	23	3.96	61	58.70	*	1542	major facilitator superfamily (MFS) antibiotic efflux pump	penam; tetracycline antibiotic	antibiotic efflux
gb|EU370913.1|+|47850-51003|ARO:3003923|oqxB	oqxB	3003923	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	346	0	346	29.56	932	27.61	*	3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
gb|XM_748018.1|+|0-4359|ARO:3003942|abcA	abcA	3003942	protein homolog model	CARD	CARD curation	no data	no data	Aspergillus fumigatus	2	0	2	4.01	175	60.00	*	4359	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin; penam; peptide antibiotic	antibiotic efflux
gb|M74717.1|+|39-822|ARO:3004652|Erm(O)-lrm	Erm(O)-lrm	3004652	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	1	0	1	7.54	59	28.00	*	783	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
gb|AL123456.3|-|3153038-3154631|ARO:3003955|efpA	efpA	3003955	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium tuberculosis	207	0	207	89.27	1422	49.78	*	1593	major facilitator superfamily (MFS) antibiotic efflux pump	rifamycin antibiotic; isoniazid-like antibiotic	antibiotic efflux
gb|AE002098.2|+|329612-330767|ARO:3003961|farA	farA	3003961	protein homolog model	CARD	CARD curation	no data	no data	Neisseria meningitidis	5	0	5	12.21	141	47.00	*	1155	major facilitator superfamily (MFS) antibiotic efflux pump	antibacterial free fatty acids	antibiotic efflux
gb|U40487.1|+|170-1685|ARO:3003967|lfrA	lfrA	3003967	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	9	0	9	27.26	413	34.44	*	1515	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|KX531049.1|+|0-1947|ARO:3003986|TaeA	TaeA	3003986	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	2	0	2	1.80	35	59.50	*	1947	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux
gb|KX531052.1|+|0-2655|ARO:3003992|rphB	rphB	3003992	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	169	0	169	77.89	2068	43.02	*	2655	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
gb|AE004091.2|-|2854010-2855291|ARO:3004073|MuxA	MuxA	3004073	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	99	0	99	25.60	328	54.77	*	1281	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|KX531044.1|+|0-1032|ARO:3003980|tetA(58)	tetA(58)	3003980	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	35	0	35	9.69	100	44.86	*	1032	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|LT673656.1|-|1884344-1885022|ARO:3004054|Paer_CpxR	Pseudomonas aeruginosa CpxR	3004054	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	69	0	69	40.12	272	47.10	*	678	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
gb|AE004091.2|-|2846282-2847779|ARO:3004072|OpmB	OpmB	3004072	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	24	0	24	14.63	219	55.62	*	1497	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|CP012901.1|-|5979156-5980365|ARO:3003801|bcr-1	bcr-1	3003801	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	15	0	15	12.99	157	52.67	*	1209	major facilitator superfamily (MFS) antibiotic efflux pump	bicyclomycin-like antibiotic	antibiotic efflux
gb|AE004091.2|+|2810008-2813197|ARO:3000804|MexF	MexF	3000804	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3264	0	3264	76.23	2431	29.60	*	3189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|AE004091.2|+|476332-477790|ARO:3000379|OprM	OprM	3000379	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	69	0	69	28.46	415	36.13	*	1458	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux
gb|AE004091.2|-|2850882-2854014|ARO:3004074|MuxB	MuxB	3004074	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	5976	0	5976	76.95	2410	32.45	*	3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|-|2847775-2850886|ARO:3004075|MuxC	MuxC	3004075	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4592	0	4592	45.45	1414	21.89	*	3111	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|AE004091.2|-|1472546-1473980|ARO:3004077|PmpM	PmpM	3004077	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	3	0	3	5.58	80	42.33	*	1434	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|EU847537.1|+|1671-3207|ARO:3004103|QepA2	QepA2	3004103	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	13	0	13	14.91	229	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|AY312416.1|+|0-1122|ARO:3004123|Bpse_Omp38	Burkholderia pseudomallei Omp38	3004123	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia pseudomallei	8	0	8	16.31	183	50.88	*	1122	General Bacterial Porin with reduced permeability to beta-lactams	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem	reduced permeability to antibiotic
gb|AFRQ01000061.1|-|22598-23990|ARO:3004142|OprZ	OprZ	3004142	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	8	0	8	15.80	220	40.00	*	1392	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	AxyY	3004144	protein homolog model	CARD	CARD curation	no data	no data	Achromobacter insuavis	701	0	701	28.68	900	24.50	*	3138	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin	antibiotic efflux
gb|AL583926.1|+|40191-40740|ARO:3002527|AAC(2')-Ie	AAC(2')-Ie	3002527	protein homolog model	CARD	CARD curation	no data	no data	Mycobacterium leprae	8	0	8	35.70	196	32.12	*	549	AAC(2')	aminoglycoside antibiotic	antibiotic inactivation
gb|AP006618.1|+|4835199-4838688|ARO:3000501|rpoB2	rpoB2	3000501	protein homolog model	CARD	CARD curation	no data	no data	Nocardia farcinica	4169	0	4169	80.17	2797	41.44	*	3489	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
gb|KR057748.1|+|0-1116|ARO:3004342|PDC-79	PDC-79	3004342	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.49	39	0.00	*	1116	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|NG_056174.1|+|100-964|ARO:3004361|sul4	sul4	3004361	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	4.17	36	60.00	*	864	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
gb|KX686116.1|+|0-1536|ARO:3004379|QepA4	QepA4	3004379	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	23	0	23	24.48	376	0.00	*	1536	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
gb|M58472.1|+|147-777|ARO:3004451|Afab_ACT_CHL	Agrobacterium fabrum chloramphenicol acetyltransferase	3004451	protein homolog model	CARD	CARD curation	no data	no data	Agrobacterium fabrum	1	0	1	5.56	35	59.00	*	630	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
gb|KP689347.1|-|8602-9544|ARO:3004757|BKC-1	BKC-1	3004757	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	2	0	2	5.10	48	0.00	*	942	BKC Beta-lactamase	carbapenem	antibiotic inactivation
gb|KR857683.1|+|0-1164|ARO:3004582|tet(49)	tet(49)	3004582	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	32.04	373	23.67	*	1164	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KR857682.1|+|0-1200|ARO:3004581|tet(48)	tet(48)	3004581	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	0	1	6.08	73	37.00	*	1200	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KR857687.1|+|0-1164|ARO:3004589|tet(53)	tet(53)	3004589	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	20.10	234	58.00	*	1164	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KR857688.1|+|0-1167|ARO:3004590|tet(54)	tet(54)	3004590	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	13.28	155	60.00	*	1167	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
gb|KM679362.1|+|0-813|ARO:3004596|erm(46)	erm(46)	3004596	protein homolog model	CARD	CARD curation	no data	no data	Rhodococcus hoagii	2	0	2	24.11	196	24.50	*	813	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
gb|ACWO01000051.1|+|22092-23265|ARO:3004588|Kpne_KpnG	Klebsiella pneumoniae KpnG	3004588	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella sp.	64	0	64	7.50	88	52.34	*	1173	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	antibiotic efflux
gb|VAOQ01003483.1|+|0-339|ARO:3005040|YajC	YajC	3005040	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	7	0	7	33.92	115	59.43	*	339	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|MN366378.1|+|0-756|ARO:3005061|AAC(3)-IVb	AAC(3)-IVb	3005061	protein homolog model	CARD	CARD curation	no data	no data	Cupriavidus gilardii	1	0	1	6.22	47	60.00	*	756	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
gb|AE004091.2|+|3450837-3451509|ARO:3005063|cprR	cprR	3005063	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	56	0	56	22.02	148	52.50	*	672	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|+|3451505-3452801|ARO:3005064|cprS	cprS	3005064	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	5	0	5	2.93	38	60.00	*	1296	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration; antibiotic efflux
gb|AE004091.2|-|1950438-1951725|ARO:3005067|ParS	ParS	3005067	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	2.33	30	60.00	*	1287	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|AE004091.2|-|1951725-1952433|ARO:3005068|ParR	ParR	3005068	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	25	0	25	6.36	45	53.80	*	708	resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr)	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
gb|AY332268.1|+|926-1808|ARO:3005111|blaS1	blaS1	3005111	protein homolog model	CARD	CARD curation	no data	no data	Mycolicibacterium smegmatis	1	0	1	3.40	30	60.00	*	882	blaS	cephalosporin; cephamycin; penam	antibiotic inactivation
gb|NG_052167.1|+|100-337|ARO:3005350|DfrB9	DfrB9	3005350	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	5	0	5	88.61	210	15.20	*	237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
gb|AJ628423.2|+|324-822|ARO:3005354|dfr22	dfr22	3005354	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	8.23	41	53.00	*	498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
gb|NG_062236.1|+|1-957|ARO:3006893|ALG6-1	ALG6-1	3006893	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	5.75	55	23.00	*	957	ALG6 beta-lactamases	carbapenem	antibiotic inactivation
gb|NG_068505.1|+|1-942|ARO:3006223|BKC-2	BKC-2	3006223	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter hormaechei	2	0	2	7.43	70	0.00	*	942	BKC Beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_062233.1|+|1-909|ARO:3006872|DHT2-1	DHT2-1	3006872	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	3	0	3	4.40	40	54.00	*	909	DHT2 beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_067154.1|+|101-961|ARO:3006151|OKP-B-45	OKP-B-45	3006151	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella quasipneumoniae	1	0	1	5.46	47	0.00	*	861	OKP beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|NG_056055.1|+|1-1194|ARO:3006601|PDC-221	PDC-221	3006601	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	1	0	1	3.27	39	0.00	*	1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|NG_049908.1|+|1-1194|ARO:3006729|PDC-36	PDC-36	3006729	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas	1	0	1	4.36	52	0.00	*	1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
gb|NG_049983.1|+|101-1066|ARO:3006987|SGM-1	SGM-1	3006987	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	1	0	1	5.28	51	30.00	*	966	SGM beta-lactamase	carbapenem	antibiotic inactivation
gb|NG_049984.2|+|101-1030|ARO:3006988|SGM-2	SGM-2	3006988	protein homolog model	CARD	CARD curation	no data	no data	Bacteria, Viruses,	2	0	2	7.63	71	4.00	*	930	SGM beta-lactamase	carbapenem	antibiotic inactivation
